location,date,new_cases,new_deaths,total_cases,total_deaths
France,2020/4/11,4342,987,90676,13197
France,2020/4/12,3114,635,93790,13832
France,2020/4/13,1613,561,95403,14393
UK,2019/12/31,0,0,0,0
UK,2020/1/1,0,0,0,0
UK,2020/1/2,0,0,0,0
UK,2020/1/3,0,0,0,0
UK,2020/1/4,0,0,0,0
UK,2020/1/5,0,0,0,0
UK,2020/1/6,0,0,0,0
UK,2020/1/7,0,0,0,0
UK,2020/1/8,0,0,0,0
UK,2020/1/9,0,0,0,0
UK,2020/1/10,0,0,0,0
UK,2020/1/11,0,0,0,0
UK,2020/1/12,0,0,0,0
UK,2020/1/13,0,0,0,0
UK,2020/1/14,0,0,0,0
UK,2020/1/15,0,0,0,0
UK,2020/1/16,0,0,0,0
UK,2020/1/17,0,0,0,0
UK,2020/1/18,0,0,0,0
UK,2020/1/19,0,0,0,0
UK,2020/1/20,0,0,0,0
UK,2020/1/21,0,0,0,0
UK,2020/1/22,0,0,0,0
UK,2020/1/23,0,0,0,0
UK,2020/1/24,0,0,0,0
UK,2020/1/25,0,0,0,0
UK,2020/1/26,0,0,0,0
UK,2020/1/27,0,0,0,0
UK,2020/1/28,0,0,0,0
UK,2020/1/29,0,0,0,0
UK,2020/1/30,0,0,0,0
UK,2020/1/31,2,0,2,0
UK,2020/2/1,0,0,2,0
UK,2020/2/2,0,0,2,0
UK,2020/2/3,0,0,2,0
UK,2020/2/4,0,0,2,0
UK,2020/2/5,0,0,2,0
UK,2020/2/6,0,0,2,0
UK,2020/2/7,1,0,3,0
UK,2020/2/8,0,0,3,0
UK,2020/2/9,1,0,4,0
UK,2020/2/10,0,0,4,0
UK,2020/2/11,4,0,8,0
UK,2020/2/12,0,0,8,0
UK,2020/2/13,1,0,9,0
UK,2020/2/14,0,0,9,0
UK,2020/2/15,0,0,9,0
UK,2020/2/16,0,0,9,0
UK,2020/2/17,0,0,9,0
UK,2020/2/18,0,0,9,0
UK,2020/2/19,0,0,9,0
UK,2020/2/20,0,0,9,0
UK,2020/2/21,0,0,9,0
UK,2020/2/22,0,0,9,0
UK,2020/2/23,0,0,9,0
UK,2020/2/24,4,0,13,0
UK,2020/2/25,0,0,13,0
UK,2020/2/26,0,0,13,0
UK,2020/2/27,0,0,13,0
UK,2020/2/28,3,0,16,0
UK,2020/2/29,2,0,18,0
UK,2020/3/1,5,0,23,0
UK,2020/3/2,13,0,36,0
UK,2020/3/3,4,0,40,0
UK,2020/3/4,11,0,51,0
UK,2020/3/5,34,0,85,0
UK,2020/3/6,30,1,115,1
UK,2020/3/7,48,0,163,1
UK,2020/3/8,43,1,206,2
UK,2020/3/9,67,1,273,3
UK,2020/3/10,48,2,321,5
UK,2020/3/11,52,1,373,6
UK,2020/3/12,83,0,456,6
UK,2020/3/13,134,4,590,10
UK,2020/3/14,117,0,707,10
UK,2020/3/15,433,11,1140,21
UK,2020/3/16,251,14,1391,35
UK,2020/3/17,152,20,1543,55
UK,2020/3/18,407,5,1950,60
UK,2020/3/19,680,43,2630,103
UK,2020/3/20,647,41,3277,144
UK,2020/3/21,706,33,3983,177
UK,2020/3/22,1035,56,5018,233
UK,2020/3/23,665,48,5683,281
UK,2020/3/24,967,54,6650,335
UK,2020/3/25,1427,87,8077,422
UK,2020/3/26,1452,41,9529,463
UK,2020/3/27,2129,115,11658,578
UK,2020/3/28,2885,181,14543,759
UK,2020/3/29,2546,260,17089,1019
UK,2020/3/30,2433,209,19522,1228
UK,2020/3/31,2619,180,22141,1408
UK,2020/4/1,3009,381,25150,1789
UK,2020/4/2,4324,743,29474,2532
UK,2020/4/3,4244,389,33718,2921
UK,2020/4/4,4450,684,38168,3605
UK,2020/4/5,3735,708,41903,4313
UK,2020/4/6,5903,621,47806,4934
UK,2020/4/7,3802,439,51608,5373
UK,2020/4/8,3634,786,55242,6159
UK,2020/4/9,5491,938,60733,7097
UK,2020/4/10,4344,881,65077,7978
UK,2020/4/11,5195,980,70272,8958
UK,2020/4/12,8719,917,78991,9875
UK,2020/4/13,5288,737,84279,10612
Iran,2019/12/31,0,0,0,0
Iran,2020/1/1,0,0,0,0
Iran,2020/1/2,0,0,0,0
Iran,2020/1/3,0,0,0,0
Iran,2020/1/4,0,0,0,0
Iran,2020/1/5,0,0,0,0
Iran,2020/1/6,0,0,0,0
Iran,2020/1/7,0,0,0,0
Iran,2020/1/8,0,0,0,0
Iran,2020/1/9,0,0,0,0
Iran,2020/1/10,0,0,0,0
Iran,2020/1/11,0,0,0,0
Iran,2020/1/12,0,0,0,0
Iran,2020/1/13,0,0,0,0
Iran,2020/1/14,0,0,0,0
Iran,2020/1/15,0,0,0,0
Iran,2020/1/16,0,0,0,0
Iran,2020/1/17,0,0,0,0
Iran,2020/1/18,0,0,0,0
Iran,2020/1/19,0,0,0,0
Iran,2020/1/20,0,0,0,0
Iran,2020/1/21,0,0,0,0
Iran,2020/1/22,0,0,0,0
Iran,2020/1/23,0,0,0,0
Iran,2020/1/24,0,0,0,0
Iran,2020/1/25,0,0,0,0
Iran,2020/1/26,0,0,0,0
Iran,2020/1/27,0,0,0,0
Iran,2020/1/28,0,0,0,0
Iran,2020/1/29,0,0,0,0
Iran,2020/1/30,0,0,0,0
Iran,2020/1/31,0,0,0,0
Iran,2020/2/1,0,0,0,0
Iran,2020/2/2,0,0,0,0
Iran,2020/2/3,0,0,0,0
Iran,2020/2/4,0,0,0,0
Iran,2020/2/5,0,0,0,0
Iran,2020/2/6,0,0,0,0
Iran,2020/2/7,0,0,0,0
Iran,2020/2/8,0,0,0,0
Iran,2020/2/9,0,0,0,0
Iran,2020/2/10,0,0,0,0
Iran,2020/2/11,0,0,0,0
Iran,2020/2/12,0,0,0,0
Iran,2020/2/13,0,0,0,0
Iran,2020/2/14,0,0,0,0
Iran,2020/2/15,0,0,0,0
Iran,2020/2/16,0,0,0,0
Iran,2020/2/17,0,0,0,0
Iran,2020/2/18,0,0,0,0
Iran,2020/2/19,0,0,0,0
Iran,2020/2/20,2,2,2,2
Iran,2020/2/21,3,0,5,2
Iran,2020/2/22,13,2,18,4
Iran,2020/2/23,10,1,28,5
Iran,2020/2/24,15,3,43,8
Iran,2020/2/25,18,4,61,12
Iran,2020/2/26,34,3,95,15
Iran,2020/2/27,44,4,139,19
Iran,2020/2/28,106,7,245,26
Iran,2020/2/29,143,8,388,34
Iran,2020/3/1,205,9,593,43
Iran,2020/3/2,385,11,978,54
Iran,2020/3/3,523,12,1501,66
Iran,2020/3/4,835,11,2336,77
Iran,2020/3/5,586,15,2922,92
Iran,2020/3/6,591,15,3513,107
Iran,2020/3/7,1234,17,4747,124
Iran,2020/3/8,1076,21,5823,145
Iran,2020/3/9,743,49,6566,194
Iran,2020/3/10,595,43,7161,237
Iran,2020/3/11,881,54,8042,291
Iran,2020/3/12,958,63,9000,354
Iran,2020/3/13,1075,75,10075,429
Iran,2020/3/14,1289,85,11364,514
Iran,2020/3/15,1365,97,12729,611
Iran,2020/3/16,1209,113,13938,724
Iran,2020/3/17,1053,129,14991,853
Iran,2020/3/18,1178,135,16169,988
Iran,2020/3/19,1192,147,17361,1135
Iran,2020/3/20,1046,149,18407,1284
Iran,2020/3/21,1237,149,19644,1433
Iran,2020/3/22,966,123,20610,1556
Iran,2020/3/23,1028,129,21638,1685
Iran,2020/3/24,1411,127,23049,1812
Iran,2020/3/25,1762,122,24811,1934
Iran,2020/3/26,2206,143,27017,2077
Iran,2020/3/27,2389,157,29406,2234
Iran,2020/3/28,2926,144,32332,2378
Iran,2020/3/29,3076,139,35408,2517
Iran,2020/3/30,2901,123,38309,2640
Iran,2020/3/31,3186,117,41495,2757
Iran,2020/4/1,3111,141,44606,2898
Iran,2020/4/2,2987,138,47593,3036
Iran,2020/4/3,2875,124,50468,3160
Iran,2020/4/4,0,0,50468,3160
Iran,2020/4/5,5275,292,55743,3452
Iran,2020/4/6,2483,151,58226,3603
Iran,2020/4/7,2274,136,60500,3739
Iran,2020/4/8,2089,133,62589,3872
Iran,2020/4/9,1997,121,64586,3993
Iran,2020/4/10,1634,117,66220,4110
Iran,2020/4/11,1972,122,68192,4232
Iran,2020/4/12,1837,125,70029,4357
Iran,2020/4/13,1657,117,71686,4474
Turkey,2020/3/12,1,0,1,0
Turkey,2020/3/13,1,0,2,0
Turkey,2020/3/16,16,0,18,0
Turkey,2020/3/17,29,0,47,0
Turkey,2020/3/18,51,0,98,0
Turkey,2020/3/19,93,1,191,1
Turkey,2020/3/20,168,3,359,4
Turkey,2020/3/21,311,5,670,9
Turkey,2020/3/22,277,12,947,21
Turkey,2020/3/23,289,9,1236,30
Turkey,2020/3/24,293,7,1529,37
Turkey,2020/3/25,343,7,1872,44
Turkey,2020/3/26,561,15,2433,59
Turkey,2020/3/27,1196,16,3629,75
Turkey,2020/3/28,2069,17,5698,92
Turkey,2020/3/29,1704,16,7402,108
Turkey,2020/3/30,1815,23,9217,131
Turkey,2020/3/31,1610,37,10827,168
Turkey,2020/4/1,2704,46,13531,214
Turkey,2020/4/2,2148,63,15679,277
Turkey,2020/4/3,2456,79,18135,356
Turkey,2020/4/4,2786,69,20921,425
Turkey,2020/4/5,3013,76,23934,501
Turkey,2020/4/6,3135,73,27069,574
Turkey,2020/4/7,3148,75,30217,649
Turkey,2020/4/8,3892,76,34109,725
Turkey,2020/4/9,4117,87,38226,812
Turkey,2020/4/10,4056,96,42282,908
Turkey,2020/4/11,4747,98,47029,1006
Turkey,2020/4/12,5138,95,52167,1101
Turkey,2020/4/13,4789,97,56956,1198
